recordId,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,CommunityStatisticalAreas,Census_Tracts,VRIZones,ZIPCode,NeedsSync,IsDeleted,ESRI_OID,lat,lng,datetime,date,dotw,week,time
10394127,5301020A6239E064,2022/03/22 10:42:00+00,High,NW,OVERDOSE,P220811902,3700 BLK W BELVEDERE AV,3700 BLK W BELVEDERE AV BALTIMORE MD,Arlington,Northwestern,633,5,D1,Pimlico/Arlington/Hilltop,Census Tract 2718.01,Northwestern,21215,1,0,63809,39.319732,-76.649533,2022-03-22T10:42:00Z,2022-03-22,3,12,10:42:00
10395521,5301020A623A4ED7,2022/03/22 18:33:00+00,High,ND,OVERDOSE,P220813638,2600 GREENMOUNT AV,2600 GREENMOUNT AV BALTIMORE MD,Harwood,Northern,513,12,D2,Greater Charles Village/Barclay,Census Tract 1203,NA,21218,1,0,63838,39.320012,-76.609532,2022-03-22T18:33:00Z,2022-03-22,3,12,18:33:00
10400137,5301020A623B9F5B,2022/03/23 18:29:00+00,High,SD,OVERDOSE,P220823661,1300 W PRATT ST,1300 W PRATT ST BALTIMORE MD,New Southwest/Mount Clare,Southern,935,9,D8,Southwest Baltimore,Census Tract 1902,Tri-District,21223,1,0,63925,39.285587,-76.637984,2022-03-23T18:29:00Z,2022-03-23,4,12,18:29:00
10403187,5301020A623C824F,2022/03/24 10:38:00+00,High,ED,OVERDOSE,P220831836,1800 N PORT ST,1800 N PORT ST BALTIMORE MD,Broadway East,Eastern,331,13,D5,Clifton-Berea,Census Tract 802,NA,21213,1,0,63987,39.311421,-76.58398,2022-03-24T10:38:00Z,2022-03-24,5,12,10:38:00
11371183,5301020A63545941,2022/10/22 16:57:00+00,High,WD,OVERDOSE,P222953431,POPLAR GROVE ST/RAYNER AV,POPLAR GROVE ST and RAYNER AV BALTIMORE MD,Franklintown Road,Southwestern,814,9,D8,Greater Rosemont,Census Tract 1606,NA,21216,1,0,64212,39.29597,-76.664933,2022-10-22T16:57:00Z,2022-10-22,7,43,16:57:00
11378277,5301020A63567E43,2022/10/24 08:00:00+00,High,CD,OVERDOSE,P222971248,PARK AV/W LEXINGTON ST,PARK AV and W LEXINGTON ST BALTIMORE MD,Downtown,Central,111,11,D7,Downtown/Seton Hill,Census Tract 401,NA,21201,1,0,64254,39.319732,-76.649533,2022-10-24T08:00:00Z,2022-10-24,2,43,08:00:00
10096145,5301020A61D62D2E,2022/01/05 18:43:00+00,High,SW,OVERDOSE,P220052870,2100 WINDSOR GARDENS LN,2100 WINDSOR GARDENS LN BALTIMORE MD,Wakefield,Southwestern,821,8,D9,Dickeyville/Franklintown,Census Tract 2803.01,NA,21207,1,0,64594,39.31081,-76.699226,2022-01-05T18:43:00Z,2022-01-05,4,1,18:43:00
10915809,5301020A62D71246,2022/07/19 16:21:00+00,High,SE,OVERDOSE,P222003056,600 S MACON ST,600 S MACON ST BALTIMORE MD,Greektown,Southeastern,242,1,D6,Orangeville/East Highlandtown,Census Tract 2607,NA,21224,1,0,64767,39.285883,-76.557441,2022-07-19T16:21:00Z,2022-07-19,3,29,16:21:00
11653067,5301020A63A0D1FC,2022/12/19 16:05:00+00,High,WD,OVERDOSE,P223532905,W NORTH AV/N CAREY ST,W NORTH AV and N CAREY ST BALTIMORE MD,Penn North,Western,742,7,D9,Sandtown-Winchester/Harlem Park,Census Tract 1501,Western,21217,1,0,64909,39.993788,-83.006931,2022-12-19T16:05:00Z,2022-12-19,2,51,16:05:00
11660218,5301020A63A2DBE6,2022/12/21 05:11:00+00,High,SE,OVERDOSE,P223550933,2100 FLEET ST,2100 FLEET ST BALTIMORE MD,Fells Point,Southeastern,213,1,D6,Fells Point,Census Tract 203,NA,21231,1,0,65077,39.28504,-76.586819,2022-12-21T05:11:00Z,2022-12-21,4,51,05:11:00
10417850,5301020A6240DBAB,2022/03/27 17:48:00+00,High,ED,OVERDOSE,P220863092,1000 FORREST ST,1000 FORREST ST BALTIMORE MD,Penn-Fallsway,Eastern,312,12,D5,Unassigned -- Jail,Census Tract 1003,NA,21202,1,0,65356,39.301325,-76.608028,2022-03-27T17:48:00Z,2022-03-27,1,13,17:48:00
10420122,5301020A62419251,2022/03/28 06:47:00+00,High,CD,OVERDOSE,P220871033,N EUTAW ST/W LEXINGTON ST,N EUTAW ST and W LEXINGTON ST BALTIMORE MD,Downtown,Central,111,11,D7,Downtown/Seton Hill,Census Tract 401,NA,21201,1,0,65392,39.319732,-76.649533,2022-03-28T06:47:00Z,2022-03-28,2,13,06:47:00
10099762,5301020A61D78339,2022/01/06 19:03:00+00,High,WD,OVERDOSE,P220062915,1000 W BALTIMORE ST,1000 W BALTIMORE ST BALTIMORE MD,Poppleton,Western,712,9,D8,Poppleton/The Terraces/Hollins Market,Census Tract 1802,NA,21223,1,0,65534,39.288971,-76.633933,2022-01-06T19:03:00Z,2022-01-06,5,1,19:03:00
10921654,5301020A62D8A2BB,2022/07/20 20:50:00+00,High,NE,OVERDOSE,P222014181,1600 HEATHFIELD RD,1600 HEATHFIELD RD BALTIMORE MD,Perring Loch,Northeastern,415,3,D4,Northwood,Census Tract 2709.02,NA,21239,1,0,65781,39.352554,-76.586225,2022-07-20T20:50:00Z,2022-07-20,4,29,20:50:00
10925672,5301020A62D9DB5E,2022/07/21 19:03:00+00,High,SD,OVERDOSE,P222023753,4100 PENNINGTON AV,4100 PENNINGTON AV BALTIMORE MD,Curtis Bay,Southern,911,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,NA,21226,1,0,65840,39.228116,-76.588994,2022-07-21T19:03:00Z,2022-07-21,5,29,19:03:00
10932857,5301020A62DC1772,2022/07/23 11:44:00+00,High,ND,OVERDOSE,P222041820,E 0TH ST/GREENMOUNT AV,E 0TH ST and GREENMOUNT AV BALTIMORE MD,Better Waverly,Northern,513,14,D5,Midway/Coldstream,Census Tract 908,NA,21218,1,0,66034,39.319732,-76.649533,2022-07-23T11:44:00Z,2022-07-23,7,30,11:44:00
11669588,5301020A63A5B4F7,2022/12/23 09:02:00+00,High,NW,OVERDOSE,P223571466,6000 RUSK AV,6000 RUSK AV BALTIMORE MD,Cheswolde,Northwestern,632,5,D1,Cross-Country/Cheswolde,Census Tract 2720.03,NA,21209,1,0,66179,39.364153,-76.67651,2022-12-23T09:02:00Z,2022-12-23,6,51,09:02:00
10438893,5301020A62473DC3,2022/04/01 14:00:00+00,High,SD,OVERDOSE,P220912493,1300 WASHINGTON BL,1300 WASHINGTON BL BALTIMORE MD,Washington Village/Pigtown,Southern,932,10,D7,Washington Village/Pigtown,Census Tract 2102,NA,21230,1,0,66559,39.280637,-76.635897,2022-04-01T14:00:00Z,2022-04-01,6,13,14:00:00
11399672,5301020A635BD263,2022/10/28 09:00:00+00,High,NE,OVERDOSE,P223011763,BELAIR RD/CLIFTON PARK TE,BELAIR RD and CLIFTON PARK TE BALTIMORE MD,Belair-Edison,Northeastern,432,13,D5,Belair-Edison,Census Tract 801.02,NA,21213,1,0,66820,39.319732,-76.649533,2022-10-28T09:00:00Z,2022-10-28,6,43,09:00:00
11400348,5301020A635C0369,2022/10/28 12:29:00+00,High,ND,OVERDOSE,P223012633,400 E 25TH ST,400 E 25TH ST BALTIMORE MD,Harwood,Northern,513,12,D2,Greater Charles Village/Barclay,Census Tract 1203,NA,21218,1,0,66837,39.318326,-76.610958,2022-10-28T12:29:00Z,2022-10-28,6,43,12:29:00
11401275,5301020A635C37F9,2022/10/28 16:13:00+00,High,CD,OVERDOSE,P223013506,900 WHITELOCK ST,900 WHITELOCK ST BALTIMORE MD,Reservoir Hill,Central,133,7,D2,Penn North/Reservoir Hill,Census Tract 1301,NA,21217,1,0,66858,39.314645,-76.632733,2022-10-28T16:13:00Z,2022-10-28,6,43,16:13:00
10123144,5301020A61E07C28,2022/01/13 14:23:00+00,High,ED,OVERDOSE,P220132348,N CAROLINE ST/E MADISON ST,N CAROLINE ST and E MADISON ST BALTIMORE MD,Gay Street,Eastern,313,12,D5,Oldtown/Middle East,Census Tract 704,NA,21205,1,0,67128,39.319732,-76.649533,2022-01-13T14:23:00Z,2022-01-13,5,2,14:23:00
10940581,5301020A62DE8F66,2022/07/25 08:41:00+00,High,SE,OVERDOSE,P222061226,N BROADWAY/E FAYETTE ST,N BROADWAY and E FAYETTE ST BALTIMORE MD,Washington Hill,Southeastern,212,12,D7,Oldtown/Middle East,Census Tract 301,NA,21231,1,0,67359,40.031912,-83.01582,2022-07-25T08:41:00Z,2022-07-25,2,30,08:41:00
10941170,5301020A62DECE75,2022/07/25 13:10:00+00,High,SD,OVERDOSE,P222062108,500 BLK OTTERBEIN ST,500 BLK OTTERBEIN ST BALTIMORE MD,Washington Village/Pigtown,Southern,932,10,D7,Washington Village/Pigtown,Census Tract 2101,NA,21230,1,0,67376,39.319732,-76.649533,2022-07-25T13:10:00Z,2022-07-25,2,30,13:10:00
11678153,5301020A63A8C83D,2022/12/25 17:01:00+00,High,ND,OVERDOSE,P223592152,5500 FALLS RD,5500 FALLS RD BALTIMORE MD,North Roland Park/Poplar Hill,Northern,521,5,D2,Greater Roland Park/Poplar Hill,Census Tract 2713,NA,21209,1,0,67542,39.361444,-76.646257,2022-12-25T17:01:00Z,2022-12-25,1,52,17:01:00
11679784,5301020A63A95E8D,2022/12/26 03:42:00+00,High,WD,OVERDOSE,P223600666,2500 RIGGS AV,2500 RIGGS AV BALTIMORE MD,Bridgeview/Greenlawn,Western,723,9,D8,Greater Rosemont,Census Tract 1605,NA,21216,1,0,67590,39.300896,-76.656802,2022-12-26T03:42:00Z,2022-12-26,2,52,03:42:00
11686894,5301020A63ABBC99,2022/12/27 22:48:00+00,High,NW,OVERDOSE,P223614215,7200 PARK HEIGHTS AV,7200 PARK HEIGHTS AV BALTIMORE MD,Cross Country,Northwestern,632,5,D1,Cross-Country/Cheswolde,Census Tract 2720.05,NA,21208,1,0,67756,39.367799,-76.708748,2022-12-27T22:48:00Z,2022-12-27,3,52,22:48:00
10444241,5301020A6248AFD7,2022/04/02 16:19:00+00,High,SE,OVERDOSE,P220922890,600 N LUZERNE AV,600 N LUZERNE AV BALTIMORE MD,McElderry Park,Southeastern,221,13,D5,Madison/East End,Census Tract 702,NA,21205,1,0,67855,39.298115,-76.581086,2022-04-02T16:19:00Z,2022-04-02,7,14,16:19:00
10445940,5301020A62491148,2022/04/02 23:15:00+00,High,SE,OVERDOSE,P220924403,900 BLK DUNDALK AV,900 BLK DUNDALK AV BALTIMORE MD,Graceland Park,Southeastern,243,1,D6,Orangeville/East Highlandtown,Census Tract 2605.01,NA,21224,1,0,67868,39.319732,-76.649533,2022-04-02T23:15:00Z,2022-04-02,7,14,23:15:00
10446572,5301020A624940E6,2022/04/03 02:38:00+00,High,CD,OVERDOSE,P220930566,E LEXINGTON ST/E SARATOGA ST,E LEXINGTON ST and E SARATOGA ST BALTIMORE MD,Downtown,Central,111,11,D7,Downtown/Seton Hill,Census Tract 401,NA,21202,1,0,67885,39.292407,-76.614163,2022-04-03T02:38:00Z,2022-04-03,1,14,02:38:00
10450836,5301020A624AB9E4,2022/04/04 05:27:00+00,High,SE,OVERDOSE,P220940867,3300 E FAYETTE ST,3300 E FAYETTE ST BALTIMORE MD,Patterson Park Neighborhood,Southeastern,222,1,D6,Patterson Park North & East,Census Tract 2610,NA,21224,1,0,67961,39.295077,-76.570895,2022-04-04T05:27:00Z,2022-04-04,2,14,05:27:00
10455996,5301020A624C53B7,2022/04/05 10:35:00+00,High,WD,OVERDOSE,P220951683,BAKER ST/N MOUNT ST,BAKER ST and N MOUNT ST BALTIMORE MD,Sandtown-Winchester,Western,742,7,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,Western,21217,1,0,68074,47.578274,-122.288526,2022-04-05T10:35:00Z,2022-04-05,3,14,10:35:00
10146057,5301020A61E8CBA5,2022/01/19 21:40:00+00,High,NE,OVERDOSE,P220193845,4200 SHELDON AV,4200 SHELDON AV BALTIMORE MD,Belair-Edison,Northeastern,442,2,D4,Cedonia/Frankford,Census Tract 2602.02,Northeastern,21206,1,0,68366,39.328739,-76.564462,2022-01-19T21:40:00Z,2022-01-19,4,3,21:40:00
10951439,5301020A62E1D65B,2022/07/27 20:20:00+00,High,SD,OVERDOSE,P222084172,600 WASHINGTON BL,600 WASHINGTON BL BALTIMORE MD,Downtown West,Southern,941,11,D7,Inner Harbor/Federal Hill,Census Tract 2201,NA,21230,1,0,68470,39.28501,-76.623497,2022-07-27T20:20:00Z,2022-07-27,4,30,20:20:00
10955089,5301020A62E2F1EC,2022/07/28 16:30:00+00,High,NW,OVERDOSE,P222093026,3800 W ROGERS AV,3800 W ROGERS AV BALTIMORE MD,Arlington,Northwestern,633,5,D1,Glen-Fallstaff,Census Tract 2719,NA,21215,1,0,68568,39.350538,-76.686024,2022-07-28T16:30:00Z,2022-07-28,5,30,16:30:00
10955321,5301020A62E2FAAB,2022/07/28 17:07:00+00,High,NW,OVERDOSE,P222093214,2800 WALDORF AV,2800 WALDORF AV BALTIMORE MD,Lucille Park,Northwestern,613,6,D1,Southern Park Heights,Census Tract 1513,NA,21215,1,0,68571,39.340051,-76.671995,2022-07-28T17:07:00Z,2022-07-28,5,30,17:07:00
10955541,5301020A62E30A05,2022/07/28 18:13:00+00,High,NW,OVERDOSE,P222093518,3900 RIDGEWOOD AV,3900 RIDGEWOOD AV BALTIMORE MD,Dolfield,Northwestern,642,6,D1,Dorchester/Ashburton,Census Tract 1510,NA,21215,1,0,68575,39.336895,-76.682927,2022-07-28T18:13:00Z,2022-07-28,5,30,18:13:00
10957910,5301020A62E3CF44,2022/07/29 08:15:00+00,High,CD,OVERDOSE,P222101196,PENNSYLVANIA AV/LAURENS ST,PENNSYLVANIA AV and LAURENS ST BALTIMORE MD,Upton,Central,123,11,D8,Upton/Druid Heights,Census Tract 1402,NA,21217,1,0,68629,39.319732,-76.649533,2022-07-29T08:15:00Z,2022-07-29,6,30,08:15:00
10958224,5301020A62E3E004,2022/07/29 09:26:00+00,High,CD,OVERDOSE,P222101438,N MARTIN LUTHER KING JR BL/PENNSYLVANIA AV,N MARTIN LUTHER KING JR BL and PENNSYLVANIA AV BALTIMORE MD,Seton Hill,Central,143,11,D8,Downtown/Seton Hill,Census Tract 1701,NA,21201,1,0,68635,30.461456,-84.285094,2022-07-29T09:26:00Z,2022-07-29,6,30,09:26:00
10959095,5301020A62E40B75,2022/07/29 12:31:00+00,High,ND,OVERDOSE,P222102217,3800 ROLAND VIEW AV,3800 ROLAND VIEW AV BALTIMORE MD,Greenspring,Northern,533,6,D1,Southern Park Heights,Census Tract 1512,NA,21215,1,0,68651,39.333336,-76.65814,2022-07-29T12:31:00Z,2022-07-29,6,30,12:31:00
11405204,5301020A635D4AB5,2022/10/29 11:45:00+00,High,SD,OVERDOSE,P223021969,COLE ST/S VINCENT ST,COLE ST and S VINCENT ST BALTIMORE MD,New Southwest/Mount Clare,Southern,935,9,D8,Southwest Baltimore,Census Tract 1903,NA,21223,1,0,68701,39.319732,-76.649533,2022-10-29T11:45:00Z,2022-10-29,7,44,11:45:00
11411197,5301020A635F1BAF,2022/10/30 20:49:00+00,High,CD,OVERDOSE,P223033691,1100 N CHARLES ST,1100 N CHARLES ST BALTIMORE MD,Mid-Town Belvedere,Central,141,11,D8,Midtown,Census Tract 1102,NA,21201,1,0,68879,39.302595,-76.616369,2022-10-30T20:49:00Z,2022-10-30,1,44,20:49:00
11413725,5301020A635FE066,2022/10/31 10:49:00+00,High,CD,OVERDOSE,P223042037,1800 MARYLAND AV,1800 MARYLAND AV BALTIMORE MD,Charles North,Central,141,12,D8,Midtown,Census Tract 1205,NA,21201,1,0,68912,39.309848,-76.618191,2022-10-31T10:49:00Z,2022-10-31,2,44,10:49:00
11414002,5301020A635FED6D,2022/10/31 11:44:00+00,High,WD,OVERDOSE,P223042265,1200 W BALTIMORE ST,1200 W BALTIMORE ST BALTIMORE MD,Poppleton,Western,712,9,D8,Poppleton/The Terraces/Hollins Market,Census Tract 1802,NA,21223,1,0,68914,39.288917,-76.636973,2022-10-31T11:44:00Z,2022-10-31,2,44,11:44:00
11414941,5301020A636029A6,2022/10/31 16:01:00+00,High,SD,OVERDOSE,P223043293,3900 PENNINGTON AV,3900 PENNINGTON AV BALTIMORE MD,Curtis Bay,Southern,911,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,NA,21226,1,0,68948,39.229769,-76.58911,2022-10-31T16:01:00Z,2022-10-31,2,44,16:01:00
11694122,5301020A63ADDC09,2022/12/29 13:27:00+00,High,WD,OVERDOSE,P223632669,EDMONDSON AV/N BRICE ST,EDMONDSON AV and N BRICE ST BALTIMORE MD,Midtown-Edmondson,Western,722,9,D8,Sandtown-Winchester/Harlem Park,Census Tract 1604,NA,21223,1,0,69078,39.319732,-76.649533,2022-12-29T13:27:00Z,2022-12-29,5,52,13:27:00
11696309,5301020A63AE52DE,2022/12/29 21:54:00+00,High,SD,OVERDOSE,P223634775,3600 HORTON AV,3600 HORTON AV BALTIMORE MD,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,Brooklyn,21225,1,0,69131,39.23857,-76.60567,2022-12-29T21:54:00Z,2022-12-29,5,52,21:54:00
11697445,5301020A63AEAA44,2022/12/30 04:07:00+00,High,ND,OVERDOSE,P223640917,5700 BERKELEY AV,5700 BERKELEY AV BALTIMORE MD,Mount Washington,Northern,533,5,D1,Glen-Fallstaff,Census Tract 2719,NA,21215,1,0,69170,39.359061,-76.674843,2022-12-30T04:07:00Z,2022-12-30,6,52,04:07:00
10457538,5301020A624CCEE2,2022/04/05 19:21:00+00,High,SE,OVERDOSE,P220953496,1300 S PONCA ST,1300 S PONCA ST BALTIMORE MD,Canton Industrial Area,Southeastern,233,1,D7,Southeastern,Census Tract 2606.05,NA,21224,1,0,69276,39.278232,-76.55472,2022-04-05T19:21:00Z,2022-04-05,3,14,19:21:00
10468977,5301020A625047B4,2022/04/08 10:33:00+00,High,NW,OVERDOSE,P220981784,4600 PARK HEIGHTS AV,4600 PARK HEIGHTS AV BALTIMORE MD,Central Park Heights,Northwestern,614,6,D1,Southern Park Heights,Census Tract 2716,NA,21215,1,0,69440,39.342183,-76.669183,2022-04-08T10:33:00Z,2022-04-08,6,14,10:33:00
10471959,5301020A62510580,2022/04/09 00:03:00+00,High,SD,OVERDOSE,P220990035,S HANOVER ST/W WEST ST,S HANOVER ST and W WEST ST BALTIMORE MD,Sharp-Leadenhall,Southern,942,11,D7,Inner Harbor/Federal Hill,Census Tract 2301,NA,21230,1,0,69525,42.119768,-71.039587,2022-04-09T00:03:00Z,2022-04-09,7,15,00:03:00
10149444,5301020A61EA38A0,2022/01/20 23:37:00+00,High,WD,OVERDOSE,P220203889,1900 N FULTON AV,1900 N FULTON AV BALTIMORE MD,Mondawmin,Western,731,7,D9,Greater Mondawmin,Census Tract 1504,Western,21217,1,0,69561,39.310274,-76.646753,2022-01-20T23:37:00Z,2022-01-20,5,3,23:37:00
